Country Name,Country Code,Region,IncomeGroup,Year,Life Expectancy World Bank,Prevelance of Undernourishment,CO2,Health Expenditure %,Education Expenditure %,Unemployment,Corruption,Sanitation,Injuries,Communicable,NonCommunicable
Latvia,LVA,Europe & Central Asia,High income,2001,70.76097561,4.6,7360,5.7776227,5.446959972,13.81999969,0,52.41175179,193981.23,54542.91,828550.73
Morocco,MAR,Middle East & North Africa,Lower middle income,2001,69.193,6.3,36270,4.12981606,0,12.46000004,0,32.48839106,1368871.31,3697986.83,5558595.24
Monaco,MCO,Europe & Central Asia,High income,2001,0,0,0,1.76396823,0,0,0,100,894.05,503.5,11108.28
Moldova,MDA,Europe & Central Asia,Upper middle income,2001,67.185,0,7020,6.23449707,4.846849918,7.289999962,0,0,232794.87,159857.91,1255903.82
Madagascar,MDG,Sub-Saharan Africa,Low income,2001,59.129,33.8,1670,4.75725555,2.70720005,5.349999905,0,3.831344237,470651.04,7463686.06,2701577.95
Maldives,MDV,South Asia,Upper middle income,2001,70.964,0,480,8.21364975,0,2.996999979,0,0,6566.36,22520.53,41713.97
Mexico,MEX,Latin America & Caribbean,Upper middle income,2001,74.658,3.3,378830,4.8203578,4.24104023,2.630000114,0,17.96506537,3591742.93,5739024.98,16682733.14
Marshall Islands,MHL,East Asia & Pacific,Upper middle income,2001,0,0,110,16.35200119,0,0,0,0,2622.02,6231.2,11006.56
North Macedonia,MKD,Europe & Central Asia,Upper middle income,2001,73.43658537,7.5,8920,8.3815918,0,30.52000046,0,12.89709303,75058.95,47316.94,575029.88
Mali,MLI,Sub-Saharan Africa,Low income,2001,48.758,16.2,1610,4.51951408,2.658449888,6.302999973,0,6.76331851,636033.28,10054240.09,2017488.66
Malta,MLT,Middle East & North Africa,High income,2001,78.84390244,2.5,2490,6.99985981,0,7.110000134,0,91.86797469,8172.44,5656.81,91973.09
Myanmar,MMR,East Asia & Pacific,Lower middle income,2001,60.377,37.6,8350,2.14881921,0,0.674000025,0,58.92317706,2642483.37,13438452.76,11950793.29
Montenegro,MNE,Europe & Central Asia,Upper middle income,2001,73.1875122,9.6,1670,0,0,28.74099922,0,0,24946.22,14377.31,162646.59
Mongolia,MNG,East Asia & Pacific,Lower middle income,2001,63.319,31.1,8970,4.3172245,0,6.212999821,0,33.71932288,151574.31,311492.22,596024.26
Northern Mariana Islands,MNP,East Asia & Pacific,High income,2001,0,0,0,0,0,0,0,0,2938.1,2380.25,12206.63
Mozambique,MOZ,Sub-Saharan Africa,Low income,2001,49.295,36.5,1410,2.95498824,0,2.842999935,0,0,727102.3,14740275.43,2789224.28
Mauritania,MRT,Sub-Saharan Africa,Lower middle income,2001,60.788,8.3,1400,3.57184672,2.106839895,9.828000069,0,0,104174.18,952086.34,394271.32
Mauritius,MUS,Sub-Saharan Africa,Upper middle income,2001,71.76585366,5.7,2570,2.96084642,3.114860058,9.140000343,0,0,31585.82,43197.63,278067.42
Malawi,MWI,Sub-Saharan Africa,Low income,2001,45.204,23.6,680,2.38508582,4.508979797,5.835000038,0,19.43719936,405908.25,10740293.29,1955136.44
Malaysia,MYS,East Asia & Pacific,Upper middle income,2001,72.782,2.5,129460,2.6753974,7.484469891,3.529999971,0,65.8615045,675010.81,1040202.68,3668019.93
Namibia,NAM,Sub-Saharan Africa,Upper middle income,2001,51.399,13.5,2460,9.53211975,6.888869762,20.79599953,0,0,99918.92,901324.95,308421.3
Niger,NER,Sub-Saharan Africa,Low income,2001,50.584,0,670,4.75814819,2.279819965,1.470000029,0,6.548758476,578147.11,12699015.7,2029328.97
Nigeria,NGA,Sub-Saharan Africa,Lower middle income,2001,46.51,8.9,101950,3.18946958,0,3.934999943,0,21.30050319,4401973.88,102340440,21881704.97
Nicaragua,NIC,Latin America & Caribbean,Lower middle income,2001,69.934,27.5,3930,5.48459768,0,7.449999809,0,0,168251.13,372628.6,679353.55
Netherlands,NLD,Europe & Central Asia,High income,2001,78.1902439,2.5,167120,8.05946636,4.699649811,2.119999886,0,97.44117906,328011.25,241782.63,3924951.1
Norway,NOR,Europe & Central Asia,High income,2001,78.78536585,2.5,34720,8.02202415,6.830629826,3.74000001,0,58.89494297,126946.72,61441.66,1128969.34
Nepal,NPL,South Asia,Lower middle income,2001,62.945,23.5,3460,3.80386233,3.708379984,1.746000051,0,11.35443284,847450.08,6570763.59,3917088.08
Nauru,NRU,East Asia & Pacific,High income,2001,0,0,80,15.50226688,0,0,0,0,808.33,1606.13,2878.31
New Zealand,NZL,East Asia & Pacific,High income,2001,78.69268293,2.5,31620,7.5789361,6.560490131,5.429999828,0,74.93483797,150122.03,43015.81,848323.44
Oman,OMN,Middle East & North Africa,High income,2001,72.58,12.3,28030,3.08315206,4.020319939,4.125,0,0,134320.24,87948.26,336892.06
Pakistan,PAK,South Asia,Lower middle income,2001,63.066,21.1,99840,2.70667124,0,0.564999998,0,0,4281933.12,58084619.18,27319818.25
Panama,PAN,Latin America & Caribbean,High income,2001,75.233,24.5,6220,6.8341074,4.105879784,3.816999912,0,0,97752.13,154316.58,436296.46
Peru,PER,Latin America & Caribbean,Upper middle income,2001,71.505,21.5,26540,4.72161007,3.037120104,5.026000023,0,12.33495746,1024199.73,2402121.42,3770040.66
Philippines,PHL,East Asia & Pacific,Lower middle income,2001,68.835,18.7,70480,2.84775901,2.92463994,3.700000048,0,43.52262482,2887545.85,9955777.05,13181817.63
Palau,PLW,East Asia & Pacific,Upper middle income,2001,0,0,220,7.8959136,7.70720005,0,0,0,1206.23,1314.29,5205.93
Papua New Guinea,PNG,East Asia & Pacific,Lower middle income,2001,59.487,26.3,3390,2.3006382,0,2.803999901,0,0,259963.78,1514582.61,1114225.21
Poland,POL,Europe & Central Asia,High income,2001,74.2,2.5,293630,5.66721439,5.319029808,18.37000084,0,79.901623,1736920.98,592229.85,10233665.17
Puerto Rico,PRI,Latin America & Caribbean,High income,2001,77.06682927,0,0,0,0,11.39999962,0,32.53629579,137923.4,138334.33,863736.54
Portugal,PRT,Europe & Central Asia,High income,2001,76.81463415,2.5,61380,8.62751484,5.33713007,3.829999924,0,50.83873125,336954.98,237045.28,2897529.91
Paraguay,PRY,Latin America & Caribbean,Upper middle income,2001,70.786,10.5,3610,5.60815763,3.833570004,6.210000038,0,44.94455986,175296.01,358853.73,759227.57
Qatar,QAT,Middle East & North Africa,High income,2001,77.612,0,28650,2.3197093,3.200190067,0.846000016,0,71.1,28021.47,15181.01,86439
Romania,ROU,Europe & Central Asia,High income,2001,71.16097561,2.5,95230,4.37598133,3.266289949,6.559999943,0,51.9938812,1013547.64,737648.7,6958880.79
